MacRom UTF-8 NFC                                             UTF-8 NFD
[60]   [60] GRAVE ACCENT                                     [60] GRAVE ACCENT
[61]   [61] LATIN SMALL LETTER A                             [61] LATIN SMALL LETTER A
[62]   [62] LATIN SMALL LETTER B                             [62] LATIN SMALL LETTER B
[63]   [63] LATIN SMALL LETTER C                             [63] LATIN SMALL LETTER C
[64]   [64] LATIN SMALL LETTER D                             [64] LATIN SMALL LETTER D
[65]   [65] LATIN SMALL LETTER E                             [65] LATIN SMALL LETTER E
[66]   [66] LATIN SMALL LETTER F                             [66] LATIN SMALL LETTER F
[67]   [67] LATIN SMALL LETTER G                             [67] LATIN SMALL LETTER G
[68]   [68] LATIN SMALL LETTER H                             [68] LATIN SMALL LETTER H
[69]   [69] LATIN SMALL LETTER I                             [69] LATIN SMALL LETTER I
[6A]   [6A] LATIN SMALL LETTER J                             [6A] LATIN SMALL LETTER J
[6B]   [6B] LATIN SMALL LETTER K                             [6B] LATIN SMALL LETTER K
[6C]   [6C] LATIN SMALL LETTER L                             [6C] LATIN SMALL LETTER L
[6D]   [6D] LATIN SMALL LETTER M                             [6D] LATIN SMALL LETTER M
[6E]   [6E] LATIN SMALL LETTER N                             [6E] LATIN SMALL LETTER N
[6F]   [6F] LATIN SMALL LETTER O                             [6F] LATIN SMALL LETTER O
[70]   [70] LATIN SMALL LETTER P                             [70] LATIN SMALL LETTER P
[71]   [71] LATIN SMALL LETTER Q                             [71] LATIN SMALL LETTER Q
[72]   [72] LATIN SMALL LETTER R                             [72] LATIN SMALL LETTER R
[73]   [73] LATIN SMALL LETTER S                             [73] LATIN SMALL LETTER S
[74]   [74] LATIN SMALL LETTER T                             [74] LATIN SMALL LETTER T
[75]   [75] LATIN SMALL LETTER U                             [75] LATIN SMALL LETTER U
[76]   [76] LATIN SMALL LETTER V                             [76] LATIN SMALL LETTER V
[77]   [77] LATIN SMALL LETTER W                             [77] LATIN SMALL LETTER W
[78]   [78] LATIN SMALL LETTER X                             [78] LATIN SMALL LETTER X
[79]   [79] LATIN SMALL LETTER Y                             [79] LATIN SMALL LETTER Y
[7A]   [7A] LATIN SMALL LETTER Z                             [7A] LATIN SMALL LETTER Z
[7B]   [7B] LEFT CURLY BRACKET                               [7B] LEFT CURLY BRACKET
[7C]   [7C] VERTICAL LINE                                    [7C] VERTICAL LINE
[7D]   [7D] RIGHT CURLY BRACKET                              [7D] RIGHT CURLY BRACKET
[7E]   [7E] TILDE                                            [7E] TILDE
[7F]   [7F] U+007F                                           [7F] U+007F
[80]   [C384] LATIN CAPITAL LETTER A WITH DIAERESIS          [41] LATIN CAPITAL LETTER A + [CC88] COMBINING DIAERESIS
[81]   [C385] LATIN CAPITAL LETTER A WITH RING ABOVE         [41] LATIN CAPITAL LETTER A + [CC8A] COMBINING RING ABOVE
[82]   [C387] LATIN CAPITAL LETTER C WITH CEDILLA            [43] LATIN CAPITAL LETTER C + [CCA7] COMBINING CEDILLA
[83]   [C389] LATIN CAPITAL LETTER E WITH ACUTE              [45] LATIN CAPITAL LETTER E + [CC81] COMBINING ACUTE ACCENT
[84]   [C391] LATIN CAPITAL LETTER N WITH TILDE              [4E] LATIN CAPITAL LETTER N + [CC83] COMBINING TILDE
[85]   [C396] LATIN CAPITAL LETTER O WITH DIAERESIS          [4F] LATIN CAPITAL LETTER O + [CC88] COMBINING DIAERESIS
[86]   [C39C] LATIN CAPITAL LETTER U WITH DIAERESIS          [55] LATIN CAPITAL LETTER U + [CC88] COMBINING DIAERESIS
[87]   [C3A1] LATIN SMALL LETTER A WITH ACUTE                [61] LATIN SMALL LETTER A + [CC81] COMBINING ACUTE ACCENT
[88]   [C3A0] LATIN SMALL LETTER A WITH GRAVE                [61] LATIN SMALL LETTER A + [CC80] COMBINING GRAVE ACCENT
[89]   [C3A2] LATIN SMALL LETTER A WITH CIRCUMFLEX           [61] LATIN SMALL LETTER A + [CC82] COMBINING CIRCUMFLEX ACCENT
[8A]   [C3A4] LATIN SMALL LETTER A WITH DIAERESIS            [61] LATIN SMALL LETTER A + [CC88] COMBINING DIAERESIS
[8B]   [C3A3] LATIN SMALL LETTER A WITH TILDE                [61] LATIN SMALL LETTER A + [CC83] COMBINING TILDE
[8C]   [C3A5] LATIN SMALL LETTER A WITH RING ABOVE           [61] LATIN SMALL LETTER A + [CC8A] COMBINING RING ABOVE
